Symbol,Sector,Mktcap,EMA_21,EMA_50,ADX,RSI
LANDMARK,Auto - Misc,SmallCap,509.22,487.73,55.07,51.85
DIVISLAB,Healthcare - API/Drug,LargeCap,6764.57,6556.64,30.73,58.12
HEG,Metals - Foundry Support,SmallCap,500.8,492.79,22.61,53.46
FCL,Chemicals - Specialty - Misc,SmallCap,271.21,263.72,22.99,51.72
TALBROAUTO,Auto - Body,SmallCap,294.02,286.58,21.97,50.47
INTERARCH,Infra - Construction,SmallCap,2204.51,2076.08,33.96,52.98
DALBHARAT,Infra - Cement,MidCap,2146.75,2081.08,25.1,58.51
PRSMJOHNSN,Infra - Cement,SmallCap,154.22,147.81,35.17,57.75
CHOICEIN,Financials - Holding/Investing,SmallCap,701.89,676.72,40.38,53.94
TARC,Real Estate,SmallCap,188.14,177.07,23.75,67.59
CESC,Power - Integrated Utility,SmallCap,173.82,168.58,27.91,54.25
FOSECOIND,Chemicals - Specialty - Misc,SmallCap,4818.38,4559.63,37.13,53.45
BFUTILITIE,Infra - Road & Highways,SmallCap,797.26,776.79,40.05,59.76
AAVAS,Financials - Housing,SmallCap,1931.33,1898.36,27.95,58.91
SUMICHEM,Agrochem - Pesticides,SmallCap,528.01,521.99,21.24,59.55
MANORAMA,Consumption - Foods/Drinks,SmallCap,1437.59,1374.69,20.68,56.57
PAGEIND,Textiles - Innerwear,MidCap,47744.08,46791.04,26.45,53.4
MPHASIS,IT - Software/Consulting,MidCap,2793.79,2682.93,29.01,59.66
HEXT,IT - Enterprise,SmallCap,853.35,807.6,33.44,54.41
GICHSGFIN,Financials - Housing,SmallCap,194.47,190.04,25.87,64.28
ASTERDM,Healthcare - Hospitals,SmallCap,597.05,570.36,30.1,55.59
HOMEFIRST,Financials - Housing,SmallCap,1343.27,1277.79,33.77,58.96
PRECWIRE,Metals - Copper,SmallCap,184.74,176.05,24.19,59.8
360ONE,Financials - WMC,MidCap,1171.46,1106.53,26.56,58.13
SHREECEM,Infra - Cement,LargeCap,30675.96,30251.73,25.12,59.35
AWHCL,Industial Products - Water/Waster Management,SmallCap,653.03,621.23,36.21,58.59
FDC,Healthcare - Formulations - OTC,SmallCap,484.79,465.86,37.26,64.39
LUMAXIND,Auto - Lighting & Electronics,SmallCap,3422.32,3137.57,52.08,62.5
NELCAST,Metals - Casting/Forging,SmallCap,140.51,130.46,34.66,50.83
SAKSOFT,IT - Software/Consulting,SmallCap,215.53,199.86,40.96,69.12
CRISIL,Financials - Ratings,MidCap,5793.45,5490.61,53.82,61.91
AARTIDRUGS,Healthcare - API/Drug,SmallCap,467.49,449.43,30.62,55.8
CAMLINFINE,Chemicals - Specialty - FMCG,SmallCap,296.46,264.01,38.98,53.21
AVTNPL,Agri - Misc,SmallCap,65.73,65.0,49.5,54.64
GODREJCP,Consumption - Personal,LargeCap,1227.26,1217.84,31.41,68.26
ADANIENT,Metals - Diversified,LargeCap,2563.79,2514.71,21.06,50.83
AKZOINDIA,Consumption - Paints,SmallCap,3450.27,3412.96,31.69,66.28
ENGINERSIN,Infra - Consulting,SmallCap,235.79,220.04,44.11,67.25
FAIRCHEMOR,Chemicals - Specialty - FMCG,SmallCap,959.89,934.54,45.77,58.14
EPL,Packaging - Misc,SmallCap,236.24,231.84,22.11,50.85
CANFINHOME,Financials - Housing,SmallCap,797.45,772.95,24.79,50.76
ECOSMOBLTY,HR Services / Outsourcing & Workplace Solutions,SmallCap,296.23,276.95,36.11,53.47
SHANKARA,Infra - Retail,SmallCap,997.24,909.7,50.38,62.17
REPCOHOME,Financials - Housing,SmallCap,426.89,414.31,23.88,54.26
KPIL,Infra - Heavy Engineering,SmallCap,1187.47,1140.7,39.86,54.17
INDIANHUME,Industial Products - Water/Waster Management,SmallCap,437.37,422.65,27.97,51.98
HUHTAMAKI,Packaging - Misc,SmallCap,219.98,212.25,42.93,64.25
ASIANPAINT,Consumption - Paints,LargeCap,2377.7,2342.44,35.35,63.04
CHENNPETRO,Refineries & Marketing,SmallCap,700.02,671.07,29.44,56.46
STEELCAS,Metals - Casting/Forging,SmallCap,1139.53,1071.18,43.79,63.16
TATVA,Chemicals - Specialty - Pharma,SmallCap,949.18,901.75,28.36,53.14
ANURAS,Chemicals - Specialty - Pharma,SmallCap,1119.78,1044.77,45.84,65.18
JAIBALAJI,Metals - Iron & Steel,SmallCap,119.19,117.85,27.42,53.97
APCOTEXIND,Industrial Products - Rubber,SmallCap,391.94,375.46,31.51,65.11
ADVENZYMES,Healthcare - Biotech,SmallCap,327.51,317.38,38.7,55.36
SUNDROP,Agri - Edible Oils,SmallCap,870.45,858.01,20.1,52.07
NAVINFLUOR,Chemicals - Specialty - Refrigeration,SmallCap,4819.96,4611.4,31.72,68.86
WAAREEENER,Power - Green Equipment,MidCap,2987.61,2860.52,26.44,58.78
RSYSTEMS,IT - Services,SmallCap,439.83,413.1,48.48,53.06
ZOTA,Healthcare - Naturals/OTC/Consumers,SmallCap,1103.26,1017.18,40.66,62.98
INDIAMART,IT - Platform - Catalogue Retail,SmallCap,2542.34,2448.34,25.72,63.06
JUSTDIAL,IT - Platform - Catalogue Retail,SmallCap,915.33,907.86,20.75,61.94
ELGIEQUIP,Industrial - Pumps/Engines,SmallCap,533.95,517.11,41.04,62.72
