Symbol,Sector,Mktcap,02-Sep,03-Sep,04-Sep,05-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,15-Sep,BreakoutCount
ICIL,Textiles - Mfg (Spin/Yarn/Integrated),SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
ICRA,Financials - Ratings,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
IDEAFORGE,Defense - Technology & Electronics,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
IDFCFIRSTB,Financials - Private Bank,MidCap,Other,Other,Breakout,Other,Other,Breakout,Other,Other,Other,Other,2
IFCI,Financials - Institute - Infra,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
IGIL,Others,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
IGL,Utility - Gas Distribution,MidCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
IMFA,Metals - Ferro Alloys,SmallCap,Other,Other,Other,Breakout,Breakout,Other,Other,Other,Other,Other,2
INDIANB,Financials - PSU Bank,MidCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
INDIANHUME,Industial Products - Water/Waster Management,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
INDNIPPON,Auto - Electricals & Batteries,SmallCap,Breakout,Other,Other,Breakout,Breakout,Breakout,Other,Breakout,Breakout,Other,6
INDOCO,Healthcare - Formulations,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
INDOTHAI,Financials - Broking,SmallCap,Other,Other,Other,Other,Other,Breakout,Breakout,Breakout,Other,Other,3
INDRAMEDCO,Healthcare - Hospitals,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Breakout,Other,Other,Other,3
INOXGREEN,Power - Green - Misc,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,Other,2
INOXINDIA,Industrial Products - Misc,SmallCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Breakout,2
INTELLECT,IT - Software/Consulting,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
IOC,Refineries & Marketing,LargeCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
IOLCP,Healthcare - API/Drug,SmallCap,Other,Breakout,Other,Other,Breakout,Breakout,Other,Other,Other,Other,3
IRCON,Railways,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,2
IREDA,Financials - Institute - Power,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
IRFC,Railways,LargeCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
IRMENERGY,Utility - Gas Distribution,SmallCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
ITC,Consumption - FMCG Conglomerates ,LargeCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
ITDC,Leisure - Hotels,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
ITDCEM,Infra - Construction,SmallCap,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,1
ITI,Telecom - Equipments,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,2
JAGSNPHARM,Healthcare - Formulations,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,1
JAIBALAJI,Metals - Iron & Steel,SmallCap,Other,Other,Other,Other,Other,Breakdown,Other,Other,Other,Breakout,1
JAICORPLTD,Industrial Products - Plastic,SmallCap,Breakout,Breakout,Other,Other,Breakout,Other,Other,Other,Other,Other,3
JAMNAAUTO,Auto - Suspension & Axles,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
JBMA,Auto - Body,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,2
JINDALSAW,Metals - Pipe & Tube,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Breakout,2
JINDALSTEL,Metals - Iron & Steel,LargeCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
JISLJALEQS,Industrial Products - Plastic,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
JKTYRE,Auto - Tyres,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,2
