Symbol,Sector,Mktcap,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,CMF_12M_High
DEEPAKFERT,Chemicals - Diversified,SmallCap,0.39,0.19,0.05,0.04,-0.1,-0.17,0.07,0.23,0.43,0.35,0.48
DEEPINDS,Oil and Gas - Field Services,SmallCap,0.33,0.34,0.14,0.16,0.06,-0.09,0.07,0.09,0.32,0.22,0.44
DELHIVERY,Transport - Logistics,SmallCap,-0.16,-0.29,-0.53,-0.51,-0.02,0.16,0.33,0.38,0.57,0.58,0.58
DEVYANI,Leisure - Restaurants,SmallCap,-0.03,-0.26,-0.29,-0.42,-0.21,-0.28,-0.36,-0.4,-0.11,0.05,0.05
DHAMPURSUG,Agri - Sugar,SmallCap,0.24,0.26,-0.03,-0.35,-0.21,-0.02,0.11,0.0,0.08,0.22,0.26
DHANUKA,Agrochem - Pesticides,SmallCap,-0.16,-0.17,-0.33,-0.03,-0.06,0.24,0.44,0.51,0.34,0.31,0.51
DIACABS,Power - Wiring,SmallCap,0.06,-0.25,-0.35,-0.39,-0.51,-0.02,0.69,0.6,0.45,0.52,0.69
DIAMONDYD,Consumption - Foods/Drinks,SmallCap,0.15,0.09,0.14,-0.05,0.12,0.17,-0.05,0.02,-0.09,0.13,0.17
DIFFNKG,Industial Products - Fabrication,SmallCap,-0.02,-0.02,-0.07,-0.14,-0.53,-0.45,-0.41,-0.17,0.11,0.19,0.19
DIVGIITTS,Auto - Drivetrain,SmallCap,-0.39,-0.28,-0.15,-0.08,-0.22,-0.48,-0.11,-0.02,0.02,0.17,0.17
DIVISLAB,Healthcare - API/Drug,LargeCap,0.59,0.42,0.2,0.13,0.21,0.21,0.26,0.27,0.35,0.32,0.66
DIXON,Consumption - Electronics,MidCap,0.35,0.18,0.01,-0.14,0.06,-0.28,-0.17,0.16,0.25,0.38,0.44
DLF,Real Estate,LargeCap,0.18,-0.07,-0.2,-0.22,-0.09,0.05,0.13,0.1,0.14,0.16,0.33
DLINKINDIA,IT - Hardware,SmallCap,-0.0,-0.3,-0.43,-0.33,-0.29,-0.27,0.22,0.14,0.22,0.21,0.24
DMART,Consumption - Retail,LargeCap,-0.45,-0.5,-0.59,-0.45,-0.25,-0.24,-0.01,0.15,0.44,0.33,0.44
DODLA,Consumption - Dairy,SmallCap,0.03,-0.01,-0.19,0.01,0.11,0.18,0.35,0.04,0.08,0.01,0.35
DOLPHIN,Oil and Gas - Field Services,SmallCap,0.16,-0.29,-0.58,-0.39,-0.15,-0.1,0.0,0.01,0.64,0.52,0.64
DOMS,Consumption - Stationary,SmallCap,-0.04,-0.06,-0.26,-0.1,-0.09,-0.21,0.05,-0.01,0.09,0.01,0.29
DREDGECORP,Engineering - Dredging,SmallCap,-0.29,-0.19,-0.17,-0.32,-0.16,0.51,0.43,0.39,0.42,0.46,0.51
DRREDDY,Healthcare - Formulations,LargeCap,0.21,0.04,-0.2,-0.21,-0.04,0.15,-0.07,0.03,0.28,0.36,0.36
E2E,IT - Cloud Infra,SmallCap,0.26,0.07,-0.42,-0.33,-0.15,0.04,0.01,-0.03,0.2,0.23,0.54
ECLERX,IT - Services,SmallCap,0.3,0.28,0.13,0.03,0.06,0.01,0.16,0.38,0.4,0.32,0.46
ECOSMOBLTY,HR Services / Outsourcing & Workplace Solutions,SmallCap,-0.35,-0.36,-0.39,-0.53,-0.45,0.02,0.16,0.07,0.18,0.22,0.22
EDELWEISS,Financials - Diversified,SmallCap,0.45,0.37,-0.02,-0.39,-0.36,-0.06,0.17,0.04,0.19,0.25,0.46
EICHERMOT,Auto - 2W,LargeCap,0.46,0.43,0.15,0.12,0.07,-0.07,0.07,-0.06,0.21,0.23,0.46
EIDPARRY,Agrochem - Fertilizers,SmallCap,0.19,0.13,-0.06,-0.1,-0.07,-0.15,0.19,0.36,0.49,0.35,0.49
EIHOTEL,Leisure - Hotels,SmallCap,0.03,-0.12,-0.14,-0.1,0.03,-0.07,-0.14,-0.09,0.16,0.12,0.16
