Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,CMF_52D_High
MARUTI,Auto - Cars/UVs,LargeCap,0.09,-0.04,-0.07,0.01,0.01,0.24,0.26,0.26,0.33,0.32,0.33
MASFIN,Financials - NBFC,SmallCap,0.36,0.21,0.08,0.05,0.01,0.08,0.09,-0.01,0.0,0.02,0.36
MASTERTR,Financials - Broking,SmallCap,-0.5,-0.07,-0.11,0.12,0.19,0.07,-0.07,0.07,0.07,0.07,0.19
MEDANTA,Healthcare - Hospitals,MidCap,0.28,0.32,0.26,0.35,0.3,0.3,0.33,0.32,0.23,0.04,0.35
METROPOLIS,Healthcare - Diagnostics,SmallCap,-0.14,-0.16,-0.08,-0.1,-0.04,-0.0,-0.03,0.0,-0.02,0.18,0.18
MOBIKWIK,IT - Fintech,SmallCap,-0.05,-0.13,-0.14,-0.16,-0.17,-0.14,-0.14,0.41,0.08,0.1,0.41
MOSCHIP,IT - Hardware,SmallCap,-0.05,-0.17,-0.1,-0.38,-0.32,-0.14,-0.11,0.57,0.52,0.54,0.57
MSUMI,Auto - Electricals & Electronics,MidCap,0.13,0.07,-0.05,0.03,-0.04,0.03,0.03,0.12,0.28,0.29,0.29
MTARTECH,Defense - Mfg,SmallCap,0.15,-0.02,-0.03,-0.09,-0.28,-0.24,-0.39,-0.32,0.17,0.19,0.19
MUTHOOTFIN,Financials - NBFC,MidCap,0.2,0.42,0.33,0.22,0.29,0.13,0.17,0.27,0.25,0.26,0.42
NATIONALUM,Metals - Aluminium,MidCap,0.04,-0.1,-0.17,-0.07,-0.2,-0.17,-0.19,-0.03,0.08,0.06,0.09
NAVA,Power - Misc,SmallCap,0.18,0.15,0.18,0.15,0.1,0.21,0.35,0.18,0.19,0.19,0.35
NAVNETEDUL,Media - Publishing,SmallCap,-0.36,-0.38,-0.12,-0.24,-0.17,0.32,0.3,0.12,0.04,0.05,0.32
NELCAST,Metals - Casting/Forging,SmallCap,0.11,-0.01,0.02,0.05,0.02,0.03,0.02,0.01,0.03,0.04,0.11
NESCO,Real Estate,SmallCap,0.41,0.3,0.3,0.31,0.27,0.32,0.28,0.2,0.13,0.1,0.41
NETWORK18,Media - Entertainment,SmallCap,0.13,0.08,0.06,0.02,0.04,0.05,0.06,-0.0,0.02,0.04,0.13
NEULANDLAB,Healthcare - API/Drug,SmallCap,0.17,0.19,0.17,0.15,0.09,0.15,0.19,0.21,0.26,0.23,0.26
NLCINDIA,Power - Generation,MidCap,-0.3,-0.28,-0.21,-0.26,-0.24,-0.21,-0.19,-0.21,0.12,0.07,0.12
NMDC,Mining - Coal/Minerals,MidCap,0.2,0.05,-0.07,-0.05,-0.2,-0.15,-0.16,-0.04,0.06,0.04,0.2
NPST,IT - Fintech,SmallCap,-0.06,-0.07,0.22,0.02,0.39,0.43,0.39,0.39,0.34,0.35,0.43
