Symbol,Sector,Mktcap,14-Jul,21-Jul,28-Jul,04-Aug,11-Aug,18-Aug,25-Aug,01-Sep,08-Sep,15-Sep,BreakoutCount
MCLOUD,IT - Software/Consulting,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
MEDANTA,Healthcare - Hospitals,MidCap,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,1
METROPOLIS,Healthcare - Diagnostics,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
MICEL,Electronics - Components,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
MOBIKWIK,IT - Fintech,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
MOLDTKPAC,Packaging - Rigid,SmallCap,Other,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,1
MOSCHIP,IT - Hardware,SmallCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Breakout,Other,2
MOTHERSON,Auto - Glass/Body,LargeCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
MSUMI,Auto - Electricals & Electronics,MidCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
MTARTECH,Defense - Mfg,SmallCap,Other,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,1
MUTHOOTFIN,Financials - NBFC,MidCap,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,Other,1
MUTHOOTMF,Financials - MFI,SmallCap,Other,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,1
NACLIND,Agrochem - Pesticides,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
NATIONALUM,Metals - Aluminium,MidCap,Other,Other,Other,Other,Other,Other,Other,Breakout,Other,Other,1
NAVA,Power - Misc,SmallCap,Other,Other,Other,Other,Other,Breakout,Other,Other,Other,Other,1
NAVKARCORP,Transport - Logistics,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
NAVNETEDUL,Media - Publishing,SmallCap,Other,Breakout,Other,Other,Other,Breakout,Other,Other,Other,Other,2
NELCAST,Metals - Casting/Forging,SmallCap,Other,Breakout,Breakout,Other,Other,Other,Other,Other,Other,Other,2
NESCO,Real Estate,SmallCap,Breakout,Other,Breakout,Other,Other,Other,Other,Other,Breakout,Other,3
NETWEB,IT - Hardware,SmallCap,Other,Other,Breakout,Other,Other,Breakout,Other,Breakout,Other,Other,3
NETWORK18,Media - Entertainment,SmallCap,Breakout,Other,Other,Other,Other,Other,Other,Other,Other,Other,1
